type,ready,post_ready,set,post_set,tone1,gap,tone2,after,relax,post_relax
valid,ready_clipped.wav,1250.0,set_clipped.wav,1250.0,tone_500.wav,2649.0,tone_500.wav,750.0,relax_clipped.wav,1000.0
valid,ready_clipped.wav,1250.0,set_clipped.wav,1250.0,tone_2000.wav,2018.0,tone_2000.wav,750.0,relax_clipped.wav,1000.0
invalid,ready_clipped.wav,1250.0,set_clipped.wav,1250.0,tone_500.wav,2868.0,tone_2000.wav,750.0,relax_clipped.wav,1000.0
valid,ready_clipped.wav,1250.0,set_clipped.wav,1250.0,tone_500.wav,2391.0,tone_500.wav,750.0,relax_clipped.wav,1000.0
valid,ready_clipped.wav,1250.0,set_clipped.wav,1250.0,tone_2000.wav,2427.0,tone_2000.wav,750.0,relax_clipped.wav,1000.0
valid,ready_clipped.wav,1250.0,set_clipped.wav,1250.0,tone_500.wav,2597.0,tone_500.wav,750.0,relax_clipped.wav,1000.0
valid,ready_clipped.wav,1250.0,set_clipped.wav,1250.0,tone_2000.wav,2578.0,tone_2000.wav,750.0,relax_clipped.wav,1000.0
valid,ready_clipped.wav,1250.0,set_clipped.wav,1250.0,tone_2000.wav,2467.0,tone_2000.wav,750.0,relax_clipped.wav,1000.0
valid,ready_clipped.wav,1250.0,set_clipped.wav,1250.0,tone_500.wav,2863.0,tone_500.wav,750.0,relax_clipped.wav,1000.0
valid,ready_clipped.wav,1250.0,set_clipped.wav,1250.0,tone_2000.wav,2311.0,tone_2000.wav,750.0,relax_clipped.wav,1000.0
invalid,ready_clipped.wav,1250.0,set_clipped.wav,1250.0,tone_500.wav,2583.0,tone_2000.wav,750.0,relax_clipped.wav,1000.0
valid,ready_clipped.wav,1250.0,set_clipped.wav,1250.0,tone_500.wav,2597.0,tone_500.wav,750.0,relax_clipped.wav,1000.0
valid,ready_clipped.wav,1250.0,set_clipped.wav,1250.0,tone_500.wav,2531.0,tone_500.wav,750.0,relax_clipped.wav,1000.0
valid,ready_clipped.wav,1250.0,set_clipped.wav,1250.0,tone_2000.wav,2989.0,tone_2000.wav,750.0,relax_clipped.wav,1000.0
valid,ready_clipped.wav,1250.0,set_clipped.wav,1250.0,tone_2000.wav,2144.0,tone_2000.wav,750.0,relax_clipped.wav,1000.0
valid,ready_clipped.wav,1250.0,set_clipped.wav,1250.0,tone_2000.wav,2316.0,tone_2000.wav,750.0,relax_clipped.wav,1000.0
valid,ready_clipped.wav,1250.0,set_clipped.wav,1250.0,tone_500.wav,2405.0,tone_500.wav,750.0,relax_clipped.wav,1000.0
invalid,ready_clipped.wav,1250.0,set_clipped.wav,1250.0,tone_2000.wav,2201.0,tone_500.wav,750.0,relax_clipped.wav,1000.0
valid,ready_clipped.wav,1250.0,set_clipped.wav,1250.0,tone_2000.wav,2938.0,tone_2000.wav,750.0,relax_clipped.wav,1000.0
valid,ready_clipped.wav,1250.0,set_clipped.wav,1250.0,tone_2000.wav,2799.0,tone_2000.wav,750.0,relax_clipped.wav,1000.0
valid,ready_clipped.wav,1250.0,set_clipped.wav,1250.0,tone_2000.wav,2296.0,tone_2000.wav,750.0,relax_clipped.wav,1000.0
valid,ready_clipped.wav,1250.0,set_clipped.wav,1250.0,tone_2000.wav,2287.0,tone_2000.wav,750.0,relax_clipped.wav,1000.0
valid,ready_clipped.wav,1250.0,set_clipped.wav,1250.0,tone_2000.wav,2841.0,tone_2000.wav,750.0,relax_clipped.wav,1000.0
invalid,ready_clipped.wav,1250.0,set_clipped.wav,1250.0,tone_2000.wav,2097.0,tone_500.wav,750.0,relax_clipped.wav,1000.0
